text,label
"We found an infinite loop in get_next_line, was in the bonus so I guess does not count for 'crash' flag :)\r\nIt was due to the stopping condition never being met in the reading loop (strchr was always returning NULL, thus keeping the condition true)\r\nOther than that, my only tip would be to keep error messages on one line per cmd table\r\nSorry for the 1 hour lost on those fds lol\r\nGL with minishell!",3
"There was some start of an implementation for the error handling, we talked about that and I proposed some improvements.\r\nThe group was very friendly, we talked a lot about algorithms, recursion, memory, etc\r\n\r\nexample of a dynamic memory allocation situation: (you want to duplicate argv[1] and do not know how big it will be)\r\n#include <stdlib.h> // lib for malloc & free\r\n#include <string.h> // lib for strlen\r\n\r\nint main(int argc, char **argv)\r\n{\r\n\tunsigned int size = strlen(argv[1]); // get the size in order to know how much memory you need\r\n\tchar *str = malloc(size * sizeof(char)); // allocate size * <size of the data type>  (char = 1, int = 4, etc - use sizeof(<data type>) to get the size if you don't know it)\r\n\tfree(str); // free the memory once you do not need it anymore!! otherwise leaks and we don't like leaks\r\n}\r\nGood luck with the rest of the piscine!",4
"We found a small leak in ft_split:\r\nvoid\tfree_all(char **new, int w)\r\n{\r\n\twhile (w > 0)\r\n\t\tfree(new[w--]);\r\n},\r\nthis skips index 0 while freeing the array (fix: change > to >=).\r\nWe also found a weird issue with big negative numbers not being sorted, we identified that it starts happening once the biggest difference between values is > INT_MAX, it seems to break the insertion logic.\r\nAlso, 01 is a valid number in C, no need to throw an error on that.\r\nOtherwise, the code looks good and works well, did not find any issues besides the ones above, and the algorithm is well understood & explained.\r\nGood luck with fixing!",4
"good job :)",0
"great job !",0
"good job, lets see what moulinette says:)",0
":))))))",0
"ex01: fill rest up with \\0\r\nex06: printable chars start from 32\r\nex10: handle zero size input, change k to unsigned int\r\ngreat job:)",3
"i hope 6 passes, if not include spaces:) otherwise great job!",1
"great job, issue on nr09 with decapitalization on last letter of word, everyting looks great otherwise :)",2
"7 does not compile unfortunately, otherwise great job!",1
"change if to while on second loop in ex03, also write your own isspace and isdigt functions.",2
"good job, check with original functions to make sure you have the right output. good luck:)",2
"sehr sch\u00f6ne codes ich gratuliere",0
"Great job!",0
"You suck",0
"I hate evaluating you",0
"not very interesting",0
